Index,Product ID,Product Title,Raw Description,Brand,Category,Target Language
39,Ehx9Y97Noi,Silent Clock Brush Portable,Silent Clock Brush Portable By Mitchell-Dixon Is A Lightweight; Eco-Friendly; Premium; Waterproof Product For Customers Shopping In Makeup.,Medina-Flowers,Makeup,Spanish
40,Uzqnxw50Ho,Portable Speakerphone Mixer Portable,"Portable Speakerphone Mixer Portable By Martin, Valdez And Ruiz Is A Premium; Eco-Friendly Product For Customers Shopping In Smartwatches.","Dickson, Estrada And Hoffman",Smartwatches,Italian
41,2Ndnihfurx,Mixer Bicycle Fridge,Mixer Bicycle Fridge By Rodgers-Anderson Is A Waterproof; Compact Product For Customers Shopping In Women'S Clothing.,Vincent-Delacruz,Women'S Clothing,Portuguese
42,Jbsseyqjcp,Fast Speakerphone,"Fast Speakerphone By Reyes, Mcbride And Rosales Is A Premium; Compact Product For Customers Shopping In Beauty & Personal Care.",Lawrence-Keith,Beauty & Personal Care,Italian
43,G6Kjg3Wybh,Pro Freezer Mixer Lock,Pro Freezer Mixer Lock By Hudson-Moore Is A Portable; Wireless; Eco-Friendly Product For Customers Shopping In Bedding & Bath.,Wright-Gibson,Bedding & Bath,Portuguese
44,Kb1Iw1Ptne,Fast Thermostat Camera Watch Prime Wireless,Fast Thermostat Camera Watch Prime Wireless By Baxter-Marquez Is A Compact; Wireless; Waterproof; Premium Product For Customers Shopping In Automotive.,Vincent Ltd,Automotive,German
45,Haqwqr2Uxh,Scanner Shaver Powerbank,Scanner Shaver Powerbank By Cameron And Sons Is A Eco-Friendly; Premium Product For Customers Shopping In Sports & Outdoors.,Mercer And Sons,Sports & Outdoors,French
46,R9On96E5F2,Fast Mixer Drone Fan Eco Rechargeable,Fast Mixer Drone Fan Eco Rechargeable By Goodman-Richardson Is A Wireless; Lightweight Product For Customers Shopping In Skincare.,Parks Llc,Skincare,Portuguese
47,Wrgkpgihrz,Ultra Brush Go Advanced,"Ultra Brush Go Advanced By Holloway, Oneal And Cohen Is A Rechargeable; Portable; Lightweight Product For Customers Shopping In Beauty & Personal Care.",Rivers-Weiss,Beauty & Personal Care,German
48,8Tjtuufq0H,Pro Kettle One Automatic,"Pro Kettle One Automatic By Medina, Washington And Cain Is A Compact; Lightweight Product For Customers Shopping In Camping & Hiking.",Robles Group,Camping & Hiking,Italian
49,Quxmmakhoa,Rechargeable Heater Silent,Rechargeable Heater Silent By Simon-Carpenter Is A Portable; Lightweight Product For Customers Shopping In Home & Kitchen.,Johnston-Johns,Home & Kitchen,Dutch
50,Qrb1It3Lgm,Ultra Cooler Eco Go Smart,Ultra Cooler Eco Go Smart By Massey-Stuart Is A Eco-Friendly; Lightweight; Premium; Portable Product For Customers Shopping In Furniture.,Braun-Ho,Furniture,French
51,Nqrbvbe52U,Fridge Fan Lamp,Fridge Fan Lamp By Downs Plc Is A Rechargeable; Waterproof; Wireless Product For Customers Shopping In Men'S Clothing.,Castaneda-Lang,Men'S Clothing,Spanish
52,Cfwmbwu4Pg,Brush,Brush By Lara Group Is A Lightweight; Portable; Waterproof; Compact Product For Customers Shopping In Furniture.,Zuniga-Potts,Furniture,German
53,Li41Q5Krmo,Shaver,Shaver By Webster Group Is A Premium; Wireless; Lightweight Product For Customers Shopping In Books & Stationery.,Barr-Webb,Books & Stationery,Italian
54,Fzhxdjm0O4,Eco Speakerphone Oven,"Eco Speakerphone Oven By Herrera, Mcgee And Rogers Is A Rechargeable; Waterproof Product For Customers Shopping In Health & Wellness.","Cannon, Campos And Davila",Health & Wellness,Dutch
55,Ijbronw8Od,Cooler,Cooler By Costa-Brennan Is A Waterproof; Portable; Rechargeable Product For Customers Shopping In Kids' Clothing.,Rich Group,Kids' Clothing,Italian
56,4Cdqavgdm6,Digital Lamp Speakerphone Headphones Wireless,Digital Lamp Speakerphone Headphones Wireless By Mccullough-Vega Is A Wireless; Portable; Eco-Friendly; Compact Product For Customers Shopping In Office Supplies.,Wolfe-Tate,Office Supplies,Italian
57,Aly593Fwhp,Headphones,Headphones By Benjamin-Barron Is A Wireless; Compact; Waterproof Product For Customers Shopping In Men'S Clothing.,Simmons-Aguirre,Men'S Clothing,French
58,Thnxxsrmwi,Ultra Thermostat Silent Silent,"Ultra Thermostat Silent Silent By Barrera, Gamble And Fox Is A Compact; Lightweight Product For Customers Shopping In Fitness Equipment.","Logan, Bird And Reeves",Fitness Equipment,German
59,Hergd1Biqu,Compact Powerbank Pro Compact,"Compact Powerbank Pro Compact By Oconnor, Frank And Proctor Is A Rechargeable; Wireless; Compact Product For Customers Shopping In Women'S Clothing.",Andersen-Pineda,Women'S Clothing,German
60,Ccw9Nzgsso,Ultra Grill Grill Scale Rechargeable Sense,Ultra Grill Grill Scale Rechargeable Sense By Barton-Benjamin Is A Lightweight; Rechargeable; Waterproof; Wireless Product For Customers Shopping In Fishing & Hunting.,"Pruitt, Shaffer And Banks",Fishing & Hunting,Spanish
61,E134Xuzayn,Wireless Keyboard Fast Prime,Wireless Keyboard Fast Prime By Swanson-Rush Is A Wireless; Compact; Lightweight Product For Customers Shopping In Shoes & Footwear.,"Moss, Cline And Harmon",Shoes & Footwear,Portuguese
62,M8C0Wxbwvy,Projector Oven Thermostat,Projector Oven Thermostat By Obrien-Barnes Is A Wireless; Portable; Waterproof Product For Customers Shopping In Home Decor.,"Waller, Miller And Burnett",Home Decor,Spanish
63,Hvummthlsd,Smart Oven Scale Max Silent Rechargeable,"Smart Oven Scale Max Silent Rechargeable By Blackwell, Robinson And Rodgers Is A Wireless; Premium Product For Customers Shopping In Fitness Equipment.",Houston And Sons,Fitness Equipment,Italian
64,Vqtpa4Cuaj,Mini Thermostat Digital Clean Edge,Mini Thermostat Digital Clean Edge By Reese Ltd Is A Rechargeable; Portable; Waterproof Product For Customers Shopping In Grooming Tools.,"Huber, Bowers And Bentley",Grooming Tools,Spanish
65,Wzihsbyrbk,Smart Stove Light Mini,"Smart Stove Light Mini By Reilly, Walls And Peters Is A Premium; Compact Product For Customers Shopping In Sports & Outdoors.",Fuentes And Sons,Sports & Outdoors,Spanish
66,Zhaddmacvl,Speaker Tablet Headphones,Speaker Tablet Headphones By Gardner Group Is A Portable; Eco-Friendly; Lightweight; Premium Product For Customers Shopping In Bedding & Bath.,Benton-Mcdonald,Bedding & Bath,Spanish
67,03Bl5Irx9N,Clean Camera Treadmill Heater Go One,Clean Camera Treadmill Heater Go One By Sexton Plc Is A Waterproof; Rechargeable; Premium; Portable Product For Customers Shopping In Haircare.,Forbes And Sons,Haircare,French
68,Zohh9Twxsp,Advanced Trimmer Stove Portable 360 Touch,Advanced Trimmer Stove Portable 360 Touch By Mejia Group Is A Lightweight; Rechargeable Product For Customers Shopping In Health & Wellness.,Porter-Blake,Health & Wellness,Spanish
69,Mmirt5Vxqz,Headphones,Headphones By Montes Plc Is A Portable; Compact Product For Customers Shopping In Skincare.,Adams Llc,Skincare,Italian
70,Lwet0Hkuhz,Smart Powerbank Scooter Smart Max Digital,Smart Powerbank Scooter Smart Max Digital By Boyer Group Is A Waterproof; Lightweight Product For Customers Shopping In Clothing & Apparel.,Barber-Garrett,Clothing & Apparel,German
71,Wmc2B4N6Ew,Ultra Fan Iron Clock Compact Silent Air,Ultra Fan Iron Clock Compact Silent Air By Wright Ltd Is A Rechargeable; Compact; Lightweight; Premium Product For Customers Shopping In Laptops & Computers.,"Schultz, Wiley And Ray",Laptops & Computers,French
72,Tmusjfpa2W,Automatic Stove Blender Oven,Automatic Stove Blender Oven By Poole Ltd Is A Lightweight; Wireless; Rechargeable Product For Customers Shopping In Laptops & Computers.,Wiggins-Crosby,Laptops & Computers,German
73,6Ouii12Ozj,Watch,Watch By Ferguson-Neal Is A Wireless; Rechargeable; Premium; Waterproof Product For Customers Shopping In Laptops & Computers.,"Allison, Winters And Richmond",Laptops & Computers,Portuguese
74,2S6Nzt8Fnb,Clock,"Clock By Irwin, Huffman And Meyers Is A Eco-Friendly; Compact; Waterproof Product For Customers Shopping In Team Sports.","Wells, Schaefer And Fuller",Team Sports,Spanish
75,Zfilqm3Tkq,Smart Lamp Blender Drone,Smart Lamp Blender Drone By Ayala Llc Is A Premium; Waterproof; Portable Product For Customers Shopping In Home Decor.,Trujillo Inc,Home Decor,Portuguese
76,Psg93Bfjdl,Silent Lamp Lamp Kettle Automatic Go Max,Silent Lamp Lamp Kettle Automatic Go Max By Boyd-Gonzalez Is A Eco-Friendly; Lightweight; Wireless Product For Customers Shopping In Bedding & Bath.,Andrews Group,Bedding & Bath,Italian
77,Wqkiuhizee,Portable Vacuum Printer Wireless Max,"Portable Vacuum Printer Wireless Max By Hale, Winters And Riggs Is A Rechargeable; Eco-Friendly; Waterproof Product For Customers Shopping In Automotive.",Vazquez Plc,Automotive,Portuguese
78,Jifyeneuty,Clean Treadmill,Clean Treadmill By Shannon Llc Is A Compact; Waterproof Product For Customers Shopping In Laptops & Computers.,Huerta Ltd,Laptops & Computers,Portuguese
79,H1Jufehbbn,Silent Lamp Lamp,Silent Lamp Lamp By Harrington Llc Is A Premium; Portable; Eco-Friendly; Waterproof Product For Customers Shopping In Automotive.,Cardenas Inc,Automotive,German
80,M1Nwmgcira,Shaver,Shaver By Bass And Sons Is A Premium; Lightweight; Waterproof Product For Customers Shopping In Fragrances.,Coffey Ltd,Fragrances,German
81,Lclfbfptze,Rechargeable Radio Bicycle Cooler Wireless Touch Fast,Rechargeable Radio Bicycle Cooler Wireless Touch Fast By Odonnell And Sons Is A Compact; Lightweight; Portable Product For Customers Shopping In Office Supplies.,Sims Group,Office Supplies,Spanish
82,Nwq2Tfwmkl,Fast Vacuum Router Toaster Premium Max Digital,Fast Vacuum Router Toaster Premium Max Digital By Knight-Lawrence Is A Eco-Friendly; Portable; Rechargeable Product For Customers Shopping In Beauty & Personal Care.,"Smith, Daugherty And Blair",Beauty & Personal Care,Dutch
83,N5Msur0Ueo,Smart Fridge Freezer Lite,"Smart Fridge Freezer Lite By Bartlett, Mendoza And Munoz Is A Compact; Eco-Friendly Product For Customers Shopping In Furniture.","Byrd, Shepard And English",Furniture,French
84,Sfaqf8Ixoa,Silent Scale Lite Prime,Silent Scale Lite Prime By Boone-Walls Is A Premium; Waterproof; Wireless; Lightweight Product For Customers Shopping In Headphones & Earbuds.,"Harris, Moore And Byrd",Headphones & Earbuds,German
85,4Urcjtxqqh,Wireless Lock Advanced Premium,Wireless Lock Advanced Premium By Mendoza-Thomas Is A Portable; Eco-Friendly Product For Customers Shopping In Men'S Clothing.,Andersen-Duncan,Men'S Clothing,German
86,Ikgtfcceky,Digital Dock Powerbank Speaker Ultra,Digital Dock Powerbank Speaker Ultra By Keith Plc Is A Eco-Friendly; Waterproof; Lightweight; Portable Product For Customers Shopping In Team Sports.,"Stokes, Saunders And Gallegos",Team Sports,Portuguese
87,Ngjvehvdyk,Automatic Shaver 360 Advanced Edge,"Automatic Shaver 360 Advanced Edge By Duran, Hart And Hutchinson Is A Wireless; Compact Product For Customers Shopping In Bedding & Bath.",Hendrix And Sons,Bedding & Bath,Dutch
88,Trg3Gdvb25,Smart Freezer Prime,"Smart Freezer Prime By Farmer, Buckley And Mcdaniel Is A Rechargeable; Lightweight; Wireless Product For Customers Shopping In Bedding & Bath.",Williams-Avery,Bedding & Bath,Portuguese
89,Drhu0Zh2Sz,Smart Speakerphone Oven Prime Ultra Max,Smart Speakerphone Oven Prime Ultra Max By Strickland Inc Is A Lightweight; Portable Product For Customers Shopping In Cycling.,Daugherty-Foster,Cycling,Italian
90,Iljdocv6Ho,Fast Shaver Air,Fast Shaver Air By Berry-Shea Is A Compact; Premium; Portable Product For Customers Shopping In Books & Stationery.,Coffey Ltd,Books & Stationery,Italian
91,H991Bbxdc7,Automatic Bicycle Scooter,Automatic Bicycle Scooter By Rollins Llc Is A Eco-Friendly; Waterproof; Lightweight; Compact Product For Customers Shopping In Clothing & Apparel.,"Gibson, White And Booker",Clothing & Apparel,French
92,Vjawajkzch,Ultra Mixer Router Phone,Ultra Mixer Router Phone By Duffy-Arellano Is A Waterproof; Premium Product For Customers Shopping In Office Supplies.,Shea Inc,Office Supplies,German
93,Mlvlqzxltk,Wireless Webcam Trimmer Projector Mini Digital,"Wireless Webcam Trimmer Projector Mini Digital By Booth, Kerr And Martinez Is A Rechargeable; Lightweight; Eco-Friendly Product For Customers Shopping In Kids' Clothing.",Ball Ltd,Kids' Clothing,German
94,Jwzrlmr6Ql,Wireless Dock Mixer Router,"Wireless Dock Mixer Router By Meza, Gonzalez And Swanson Is A Rechargeable; Eco-Friendly; Wireless; Waterproof Product For Customers Shopping In Fragrances.",Colon-Joyce,Fragrances,Italian
95,Itu1Vibco7,Advanced Camera Wireless Mini,Advanced Camera Wireless Mini By Watts-Lester Is A Waterproof; Portable; Rechargeable; Compact Product For Customers Shopping In Kitchen Appliances.,Vasquez-Oconnell,Kitchen Appliances,Portuguese
96,L3O4Qexjzc,Ultra Headphones,Ultra Headphones By Stevens Group Is A Portable; Rechargeable Product For Customers Shopping In Clothing & Apparel.,Hogan-Mitchell,Clothing & Apparel,German
97,K3Nfvdutv7,Automatic Drone Vacuum,"Automatic Drone Vacuum By Pratt, Hudson And Sheppard Is A Waterproof; Wireless Product For Customers Shopping In Fragrances.",Leon-Pineda,Fragrances,Dutch
98,Kvpazoz8Xv,Ultra Speaker Keyboard Eco Lite,Ultra Speaker Keyboard Eco Lite By Tran-Davenport Is A Rechargeable; Wireless Product For Customers Shopping In Sports & Outdoors.,Mcknight And Sons,Sports & Outdoors,Dutch
99,Kwbpjd25Mx,Grill Grill Scale,Grill Grill Scale By Browning Ltd Is A Rechargeable; Premium; Lightweight Product For Customers Shopping In Sports & Outdoors.,"Fleming, Mckee And Maxwell",Sports & Outdoors,German
100,Mt4Ppfqjmv,Smart Cooler Silent X Mini,"Smart Cooler Silent X Mini By Rosales, Gallegos And Mcdonald Is A Rechargeable; Wireless; Waterproof Product For Customers Shopping In Cycling.",Mccoy Ltd,Cycling,Italian
